state,loancount,totaljobs,totalloanamount,avgloansize,jobsperloan,dollarsperjob,loancountnojobs,totalloansnojobs,avgloansizenojobs
WY,"13,550","111,633","$1,045,259,602.45","$77,140.93",8.9,"$8,864.32",942,"$55,708,625.97","$59,138.66"
DC,"13,339","168,366","$2,142,507,586.02","$160,619.80",16.1,"$11,125.27","2,862","$269,390,809.13","$94,126.76"
DE,"13,094","139,144","$1,506,284,363.24","$115,036.22",14.5,"$9,011.24","3,480","$252,424,822.01","$72,535.86"
VT,"12,362","116,841","$1,200,229,871.05","$97,090.26",11.7,"$8,975.29","2,345","$151,548,453.70","$64,626.20"
AK,"12,038","117,420","$1,309,266,744.30","$108,761.15",11.2,"$10,260.10","1,513","$104,419,595.68","$69,014.93"
GU,"2,201","32,124","$191,937,507.23","$87,204.68",15.5,"$5,226.18",134,"$24,051,689.93","$179,490.22"
VI,"2,039","17,130","$125,364,754.53","$61,483.44",8.8,"$7,239.54",84,"$1,351,496.58","$16,089.24"
MP,481,"7,488","$38,692,093.65","$80,440.94",18.4,"$4,041.40",74,"$8,430,094.00","$113,920.18"
AS,293,"4,302","$11,839,130.86","$40,406.58",14.8,"$2,729.36",3,"$97,432.00","$32,477.33"
AE,1,,"$27,400.00","$27,400.00",,,1,"$27,400.00","$27,400.00"
N/A,138,220,"$6,030,063.00","$43,696.10",5.8,"$9,411.41",100,"$3,959,553.00","$39,595.53"
